S. No.,SITE_ID,DISTRICT,Block,VILLAGE,ELEVATION,FORMATION,River Basin,Normal (1901-70),Average rainfall (2012-21) (mm),Rainfall (2021) (mm),Departure (%) in 2021 from normal rainfall,Departure (%) in 2021 from Average rainfall,MAY_bgl,AUG_bgl,NOV_bgl,JAN_bgl,DEPTH,MAY_flu,AUG_flu,NOV_flu,JAN_flu
,,BARMER,BARMER,CHAWA,139,Tertiary Sandstone,Luni,260,318.66,274,5.16,-16.24,39.58,39.73,0,0,51,-2.5,-1.45,-1.30,-3.06
,,BARMER,RAMSAR,DERASAR,72,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,16.5,17.7,17.6,16.3,26,-1.72,5.10,4.76,3.18
,,BARMER,KALYANPUR,DOLI,157,Older Alluvium,The Outside Basin,260,318.66,274,5.16,-16.24,9.4,0,0,0,32,-1.13,1.83,2.01,3.22
,,BARMER,GADRAROAD,GADRA ROAD,149,Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,98.05,100.95,101.05,101.15,107.34,-0.47,2.19,2.49,1.78
,,BARMER,GADRAROAD,Jansingh Ki Beri,254,Granite,The Outside Basin,260,318.66,274,5.16,-16.24,8.72,8.77,7.96,8.72,16.22,0.33,0.88,0.09,0.68
,,BARMER,BARMER,JASAI,232,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,23.34,22.04,20.69,21.04,25,0,0,0,0
,,BARMER,BAYTOO,Jhak Pz,228,Tertiary Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,57.8,58.5,0,60.9,120,-0.84,3.07,0.12,7.72
,,BARMER,SAMDARI,KARMAWAS,139,Older Alluvium,Luni,260,318.66,274,5.16,-16.24,4.8,4.95,5.1,5,58,-2.10,1.85,1.14,1.11
,,BARMER,SHEO,KASHMIR,235,Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,66.79,0,0,0,250,-1.69,0.56,0.60,0.15
,,BARMER,DHORIMANNA,KATERLA,74,Older Alluvium,Luni,260,318.66,274,5.16,-16.24,16.22,16.32,16.37,16.27,250,3.45,3.36,0.29,-0.64
,,BARMER,GADRAROAD,KHARIN,233,Tertiary Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,0,45.8,45,45.9,50,-1.56,0.45,1.01,0.42
,,BARMER,BARMER,MATASAR,153,Tertiary Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,34.4,34.55,34.5,34.6,48.9,0.46,1.65,1.29,-1.00
,,BARMER,BARMER,NAND,247,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,17.7,18,18.5,19.5,23.86,-2.69,-0.52,-0.25,-0.49
,,BARMER,CHOHTAN,NIMRI (RADEWA),190,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,0,0,12.23,12.63,35.2,-1.05,2.20,1.93,0.19
,,BARMER,BAYTOO,PANAVADA,167,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,28.86,29.16,28.91,29.01,38.12,-1.95,-0.47,-0.23,-0.24
,,BARMER,GADRAROAD,PANCHLA,65,Tertiary Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,40.3,40,39.9,39.4,53.45,0.58,-0.78,0.67,-0.42
,,BARMER,KALYANPUR,PARALIA DHAMAT,166,Older Alluvium,The Outside Basin,260,318.66,274,5.16,-16.24,11.8,11.97,11.85,11.2,200,0.07,-2.02,-0.13,-0.97
,,BARMER,DHORIMANNA,PIPARLI GAON,50,Younger Alluvium,Luni,260,318.66,274,5.16,-16.24,7.8,0,0,7.8,58,2.39,-0.31,1.08,-2.06
,,BARMER,BARMER,RAWATSAR1,148,Tertiary Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,0,62.9,61.95,62.35,144.4,-1.77,-2.09,-2.02,-4.31
,,BARMER,GADRAROAD,REDANA,221,Granite,The Outside Basin,260,318.66,274,5.16,-16.24,0,22.12,20.52,24.12,26.55,1.93,-0.69,-0.97,-0.31
,,BARMER,BAYTOO,Rewali,221,Tertiary Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,96.5,97.2,96.35,97.3,130,-4.27,-3.27,1.32,2.32
,,BARMER,BARMER,SANAWARA,123,Older Alluvium,The Outside Basin,260,318.66,274,5.16,-16.24,45.56,45.81,45.51,45.56,51.31,0.51,1.51,2.51,3.51
,,BARMER,CHOHTAN,SANLOR,198,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,28.6,28.7,28.7,28.8,32,0.69,-2.45,0.19,-0.41
,,BARMER,BARMER,Sansiyan,181,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,22.05,25.35,27.25,24.15,74.64,1.22,-1.03,0.80,-0.62
,,BARMER,GIRA,Santara,141.83,Older Alluvium,The Outside Basin,260,318.66,274,5.16,-16.24,4.2,4.45,3.25,3.4,7.8,1.09,0.66,0.20,1.20
,,BARMER,SERWA,Sata,31,Older Alluvium,Luni,260,318.66,274,5.16,-16.24,7.3,7.45,7.3,7.6,250,0.26,-0.69,0.12,-0.28
,,BARMER,GIRA,SAUPADAMSINGH,213,Tertiary Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,21.71,22.31,22.07,22.41,32.06,0.56,-1.03,-0.03,-1.19
,,BARMER,CHOHTAN,SIHANI,280,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,0,24.05,22.45,14.65,25.41,2.28,-0.83,-1.21,-6.48
,,BARMER,SINDHARI,SINDARI,88,Younger Alluvium,Luni,260,318.66,274,5.16,-16.24,16.13,16.2,16.2,16.2,50,1.07,6.88,1.76,-3.80
,,BARMER,CHOHTAN,SIYAGA TALA,166,Older Alluvium,The Outside Basin,260,318.66,274,5.16,-16.24,66.04,66.29,63.34,63.19,74,0.65,-0.42,0.07,0.31
,,BARMER,RAMSAR,SUTHARON KI DHANI,229,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,20.4,0,0,20.5,28.2,1.89,-0.14,2.23,0.57
,,BARMER,SERWA,TARLA,43,Older Alluvium,Luni,260,318.66,274,5.16,-16.24,4.3,4,4.5,4.4,6.98,0.85,0.02,-0.94,-1.61
,,BARMER,KALYANPUR,THOB,157,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,23.54,16.81,15.64,16.84,28.04,0.36,0.00,0.06,-0.20
,,BARMER,KALYANPUR,Thoombli,172.74,Older Alluvium,The Outside Basin,260,318.66,274,5.16,-16.24,26.8,23.68,23.35,22.6,28.2,-0.69,-0.19,0.87,0.70
,,BHARATPUR,BAYANA,BANDH BARETA,201,Older Alluvium,Gambhir,675.1,615.52,779,13.38,21.02,6.21,3.27,2.89,3.71,10,4.50,7.16,7.75,1.29
,,BHARATPUR,NADBAI,BAONLI CHAN,213,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,42.87,36.25,36.4,36.9,100,-1.78,-1.41,-0.59,-1.52
,,BHARATPUR,BAYANA,BAWARI BARODA,192,Older Alluvium,Gambhir,675.1,615.52,779,13.38,21.02,6.06,7.66,7.85,8.05,10,2.74,2.14,3.29,3.05
,,BHARATPUR,BAYANA,Bhagori_DW,199,Older Alluvium,Gambhir,675.1,615.52,779,13.38,21.02,17.85,12.5,12.65,15,20,-0.80,1.33,0.62,2.20
,,BHARATPUR,SEWAR,Bharatpur1,179,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,1.05,0.74,0.74,0.84,8.39,-2.99,-3.70,-4.11,-2.95
,,BHARATPUR,SEWAR,CHIKSANA,179,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,19.86,18.04,18.24,18.64,22,0,0,0,0
,,BHARATPUR,WEIR,Chokarwada,216,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,54.75,54.19,55.76,54.8,91,1.24,2.82,1.34,0.87
,,BHARATPUR,RUPBAS,DAHINAGAON,181,Older Alluvium,Gambhir,675.1,615.52,779,13.38,21.02,12.43,10.48,10.78,11.23,17,1.58,1.90,2.20,1.26
,,BHARATPUR,DEEG,Deeg,181,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,7.98,0,0,1.35,129.2,1.59,1.76,2.11,2.13
,,BHARATPUR,PAHARI,Gopalgarh,198,Older Alluvium,Ruparail,675.1,615.52,779,13.38,21.02,11.5,10.46,10.5,11,12.3,-0.72,-0.96,-0.60,-0.63
,,BHARATPUR,WEIR,HALENA,207,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,39.8,37.6,37.68,40.22,52.64,0.45,0.24,0.43,0.56
,,BHARATPUR,NAGAR,JAISARI,206,Older Alluvium,Ruparail,675.1,615.52,779,13.38,21.02,14.65,14.25,14.15,14.9,121.65,3.56,2.82,4.81,3.45
,,BHARATPUR,BAYANA,Jaisora,219,Sandstone,Gambhir,675.1,615.52,779,13.38,21.02,14.87,5.92,6.1,6.95,60,0.16,-0.09,-0.07,-0.08
,,BHARATPUR,KAMAN,JURAHRA,188,Older Alluvium,Ruparail,675.1,615.52,779,13.38,21.02,11.34,8.72,8.72,9.24,15.5,2.41,5.28,5.70,2.48
,,BHARATPUR,RUPBAS,KHANUA,181,Older Alluvium,Gambhir,675.1,615.52,779,13.38,21.02,11.77,11.67,11.57,11.2,13,2.84,2.86,2.87,2.89
,,BHARATPUR,BAYANA,Kheria Mod,194,Older Alluvium,Gambhir,675.1,615.52,779,13.38,21.02,6.56,6.8,6.83,7.49,11.2,1.35,7.58,2.58,2.47
,,BHARATPUR,KUMHER,KUMHER,182,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,2.85,1.31,1.4,0.15,12,1.98,2.48,1.30,2.24
,,BHARATPUR,SEWAR,Ludhawai_GWD,184,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,6.38,4.75,4.9,5.55,10.9,5.27,4.46,3.00,2.69
,,BHARATPUR,NADBAI,Lulhara,191,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,0,0,0,18.96,60,2.50,0.63,4.23,5.12
,,BHARATPUR,DEEG,MANDHERA,181,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,13.31,11.61,11.71,11.05,20,-1.16,-0.65,-0.66,-0.51
,,BHARATPUR,NADBAI,NADBAI,203,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,20.55,20.27,21.42,22.73,90.62,8.27,8.29,8.39,8.49
,,BHARATPUR,WEIR,Newada Deep,212,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,42.37,33.43,33.4,"33,9",98,0.94,1.58,1.24,0.53
,,BHARATPUR,WEIR,Newada Shallow,212,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,42.19,33,33.1,33.2,98,0.98,0.78,1.44,1.28
,,BHARATPUR,DEEG,Pasta,186,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,8.73,7.1,7.25,7.9,152,-0.71,-0.02,0.67,0.15
,,BHARATPUR,DEEG,SIHORA,186,Older Alluvium,Banganga,675.1,615.52,779,13.38,21.02,8.05,6.55,7.85,8.15,15,4.44,8.66,9.01,7.58
,,BHARATPUR,WEIR,WEIR1,217,Quartzite,Banganga,675.1,615.52,779,13.38,21.02,38.62,33.97,33.91,37.57,92.2,3.45,3.36,3.22,3.07
,,BHILWARA,JAHAZPUR,AMARWASI,331,Schist,Banas,603.3,660.04,705,14.37,6.32,1.59,1.19,1.59,1.69,6.99,-0.37,1.03,-0.02,0.12
,,BHILWARA,BANERA,BABRANA,368,Schist,Banas,603.3,660.04,705,14.37,6.32,4,1.88,1.72,2.1,200,-1.28,-0.94,-0.81,-1.48
,,BHILWARA,ASIND,BADNOR,495,Gneiss,Banas,603.3,660.04,705,14.37,6.32,8.48,7.68,9.03,9.13,15,0.72,0.48,0.40,0.09
,,BHILWARA,JAHAZPUR,Bagudar,286,Schist,Banas,603.3,660.04,705,14.37,6.32,3.7,2.7,3.2,3.5,200,0.06,-0.65,-0.87,-0.56
,,BHILWARA,MANDAL,BAKLI_Pz,450,Schist,Banas,603.3,660.04,705,14.37,6.32,38,20.92,0,8.88,200,-0.34,-1.14,-3.75,-4.17
,,BHILWARA,BANERA,BANERAMATAJI,423,Schist,Banas,603.3,660.04,705,14.37,6.32,17.3,14.47,8.9,10.8,19,5.92,6.70,5.98,8.65
,,BHILWARA,ASIND,BARASNI,437,Gneiss,Banas,603.3,660.04,705,14.37,6.32,13.03,7.58,8.83,8.98,23.68,3.37,3.20,3.28,3.70
,,BHILWARA,KOTRI,Bhagwanpura,362,Schist,Banas,603.3,660.04,705,14.37,6.32,7.1,3.2,3.5,3.9,13.3,1.14,0.93,0.89,0.93
,,BHILWARA,SHAHPURA,Bhojpur_P,319,Schist,Banas,603.3,660.04,705,14.37,6.32,4.6,1.2,1.35,0.95,200,0.94,0.70,1.27,1.09
,,BHILWARA,JAHAZPUR,Bhopalpura1,346,Schist,Banas,603.3,660.04,705,14.37,6.32,3.6,0.4,0.5,0.7,14,-0.08,3.68,6.42,3.23
,,BHILWARA,MANDALGARH,BIGOD,358,Schist,Banas,603.3,660.04,705,14.37,6.32,9.7,2.85,3.56,1.68,10.9,-0.60,0.58,-1.52,-0.87
,,BHILWARA,BIJOLIYAN,BIJOLIA,528,Sandstone,Chambal,603.3,660.04,705,14.37,6.32,5.63,5.33,2.96,3.28,15.38,1.27,1.70,1.20,1.16
,,BHILWARA,JAHAZPUR,BORANI,345,Schist,Banas,603.3,660.04,705,14.37,6.32,9.89,16.99,13.49,13.59,20,0.20,0.92,1.18,0.82
,,BHILWARA,MANDAL,Dahimatha,493,Gneiss,Banas,603.3,660.04,705,14.37,6.32,21.85,22.37,16.93,24.5,25,0,0,0,0
,,BHILWARA,RAIPUR,Dangri,529,Gneiss,Banas,603.3,660.04,705,14.37,6.32,20.7,18.8,18.87,19.85,200,-9.87,8.64,6.08,-2.14
,,BHILWARA,ASIND,Daulatgarh,529,Gneiss,Banas,603.3,660.04,705,14.37,6.32,6.8,5.3,3.48,4.3,29.8,0.43,0.38,0.63,0.47
,,BHILWARA,RAIPUR,DEVARIA,525,Gneiss,Banas,603.3,660.04,705,14.37,6.32,26.1,21,24.53,25.4,33.6,1.53,2.12,-2.77,-2.25
,,BHILWARA,SHAHPURA,Devariya,326,Gneiss,Banas,603.3,660.04,705,14.37,6.32,3.9,3.45,3.7,3.85,200,4.08,3.49,5.67,5.83
,,BHILWARA,SHAHPURA,Dhikola_P,346,Schist,Banas,603.3,660.04,705,14.37,6.32,6,3,2.6,2.65,200,-0.05,-0.18,0.33,0.24
,,BHILWARA,ASIND,Dholi_Pz,412,Gneiss,Banas,603.3,660.04,705,14.37,6.32,18.6,10.15,9.4,9.5,200,4.08,2.68,2.63,1.08
,,BHILWARA,HURDA,GAGEDA,416,Gneiss,Banas,603.3,660.04,705,14.37,6.32,0,0,13.29,13.54,14.9,2.55,-0.52,-0.53,-0.85
,,BHILWARA,SAHARA,Galodiya,477.425,Schist,Banas,603.3,660.04,705,14.37,6.32,18.5,16.8,20.88,15.6,24.3,2.74,0.48,-0.25,0.85
,,BHILWARA,SAHARA,GANGAPUR1,506,Gneiss,Banas,603.3,660.04,705,14.37,6.32,11.08,9.38,8.6,9.63,25.53,11.07,5.29,5.31,5.13
,,BHILWARA,HURDA,GULABPURA,397,Gneiss,Banas,603.3,660.04,705,14.37,6.32,2.51,3.11,5.06,5.21,19,-0.86,1.67,1.59,1.67
,,BHILWARA,SUWANA,HAMIRGARH,421,Schist,Banas,603.3,660.04,705,14.37,6.32,21.19,10.49,8.34,8.99,25,3.55,0.74,0.27,1.74
,,BHILWARA,ASIND,Jeewaliya,458,Gneiss,Banas,603.3,660.04,705,14.37,6.32,8.5,6.6,6.01,8.7,17,-2.36,-1.98,-2.64,-2.30
,,BHILWARA,SHAHPURA,KANCHAN-KALA,369,Schist,Banas,603.3,660.04,705,14.37,6.32,4.3,2.7,2.8,3.15,10.5,0.05,-0.10,-0.40,0.01
,,BHILWARA,MANDAL,Karera,506,Gneiss,Banas,603.3,660.04,705,14.37,6.32,19.5,17.6,0,0,150,5.17,6.45,6.45,3.00
,,BHILWARA,SUWANA,Karoi Kalan,461,Schist,Banas,603.3,660.04,705,14.37,6.32,2.7,9.9,14.38,7.45,25,1.20,-0.87,-0.28,0.46
,,BHILWARA,SUWANA,KODUKOTA,406,Schist,Banas,603.3,660.04,705,14.37,6.32,9.05,8.75,9.15,4.1,25,4.36,-4.56,-3.49,-2.55
,,BHILWARA,SAHARA,KOSHITHAL,475,Gneiss,Banas,603.3,660.04,705,14.37,6.32,6,4.7,3.18,3.3,200,2.33,1.89,1.46,1.84
,,BHILWARA,KOTRI,KOTARI,379,Gneiss,Banas,603.3,660.04,705,14.37,6.32,7.07,3.97,4.29,3.37,17.63,-0.12,2.19,1.89,0.75
,,BHILWARA,MANDALGARH,Ladpura,397,Limestone,Banas,603.3,660.04,705,14.37,6.32,15,4.69,4.26,3.95,20,5.10,4.60,4.61,5.14
,,BHILWARA,JAHAZPUR,Luhari Kallan,293,Schist,Banas,603.3,660.04,705,14.37,6.32,13.1,4.8,3.95,4.2,200,5.17,-2.15,-4.85,-3.86
,,BHILWARA,SAHARA,Mahendragarh,433,Schist,Banas,603.3,660.04,705,14.37,6.32,14.1,13.2,13.02,14,200,3.40,1.39,1.19,0.91
,,BHILWARA,MANDAL,MALAS_ Pz,445,Gneiss,Banas,603.3,660.04,705,14.37,6.32,21,15,12.16,13.95,200,2.79,3.57,2.82,2.82
,,BHILWARA,MANDALGARH,Mandalgarh_P:,310,Schist,Banas,603.3,660.04,705,14.37,6.32,17.9,4.08,7.26,7.95,200,1.56,1.74,0.33,2.11
,,BHILWARA,MANDALGARH,MANDALGARH1,351,Hills,Banas,603.3,660.04,705,14.37,6.32,20.7,15.7,11.08,6.65,30,-0.99,-2.32,-1.46,-2.83
,,BHILWARA,SUWANA,MANDAPIA RS,410,Gneiss,Banas,603.3,660.04,705,14.37,6.32,0,0,2.9,2.8,20,-1.13,-1.81,-1.67,-0.98
,,BHILWARA,BIJOLIYAN,MANGTALA,368,Schist,Chambal,603.3,660.04,705,14.37,6.32,0,0,11.42,12.4,200,-3.5,-3.6,-3.7,-3.8
,,BHILWARA,SUWANA,MCI (Pur),392,Schist,Banas,603.3,660.04,705,14.37,6.32,4.9,4.1,4.38,4.5,200,2.91,1.59,1.99,1.02
,,BHILWARA,RAIPUR,NANGPURA,529,Gneiss,Banas,603.3,660.04,705,14.37,6.32,25.58,21.88,22.54,19.98,32,3.35,3.84,3.56,4.58
,,BHILWARA,BIJOLIYAN,PAPARBAR,439,Sandstone,Chambal,603.3,660.04,705,14.37,6.32,39.8,38.1,8.9,6.15,200,16.48,7.87,5.32,5.93
,,BHILWARA,ASIND,PARASOLI,433,Gneiss,Banas,603.3,660.04,705,14.37,6.32,18.2,9.8,9.4,9.65,200,17.30,7.77,5.36,5.45
,,BHILWARA,KOTRI,PAROLI,341,Schist,Banas,603.3,660.04,705,14.37,6.32,3.8,2.8,2.45,2.7,10.4,3.10,-1.22,-2.32,-2.50
,,BHILWARA,HURDA,PHALAMADA,345,Gneiss,Banas,603.3,660.04,705,14.37,6.32,15.75,15.55,14.6,14.75,200,-1.11,-2.57,-1.34,-1.03
,,BHILWARA,RAIPUR,PITAKHERA,544,Gneiss,Banas,603.3,660.04,705,14.37,6.32,20.3,17.2,9.15,10.5,24.3,0,0,0,0
,,BHILWARA,SAHARA,POTLAN,441,Gneiss,Banas,603.3,660.04,705,14.37,6.32,4.7,4.9,3.92,4.25,200,16.23,13.80,12.81,15.57
,,BHILWARA,SHAHPURA,Rahad,304,Schist,Banas,603.3,660.04,705,14.37,6.32,3.25,2.4,4.55,4.7,200,-1.45,-0.48,-0.28,0.11
,,BHILWARA,BANERA,RAILA ROAD,431,Gneiss,Banas,603.3,660.04,705,14.37,6.32,12.3,6.25,6.4,6.65,26,0.50,0.66,0.39,-3.73
,,BHILWARA,RAIPUR,Raipur,533,Gneiss,Banas,603.3,660.04,705,14.37,6.32,5,4.1,3.94,4.6,26.5,1.05,3.90,2.70,4.14
,,BHILWARA,MANDALGARH,RAMNAGAR_Pz,346,Schist,Banas,603.3,660.04,705,14.37,6.32,32.8,7.92,5.38,9.02,200,0.05,0.59,0.80,1.28
,,BHILWARA,BIJOLIYAN,Rampuriya_ Pz,331,Schist,Chambal,603.3,660.04,705,14.37,6.32,37.1,33.8,5.72,11.15,200,10.35,3.62,5.45,0.57
,,BHILWARA,ASIND,Rooppura,439,Gneiss,Banas,603.3,660.04,705,14.37,6.32,27.65,14,15.65,15.8,200,1.08,3.73,-3.77,-1.42
,,BHILWARA,BIJOLIYAN,SALAWATIA,530,Sandstone,Banas,603.3,660.04,705,14.37,6.32,26.1,22.7,6.75,16.4,31,-0.92,-1.96,0.71,0.35
,,BHILWARA,SAHARA,SALERA,456,Gneiss,Banas,603.3,660.04,705,14.37,6.32,12.4,10,7.38,8.45,200,-1.77,-2.91,-1.45,-1.90
,,BHILWARA,HURDA,SANODIYA,374,Gneiss,Banas,603.3,660.04,705,14.37,6.32,5.1,0.7,2.45,2.7,200,-1.45,-1.28,0.42,-0.55
,,BHILWARA,KOTRI,SAWAIPUR,387,Gneiss,Banas,603.3,660.04,705,14.37,6.32,13.55,12.05,8.32,10.55,28.99,-4.44,-5.77,-5.06,-6.31
,,BHILWARA,SUWANA,SETHORIYA,413,Schist,Banas,603.3,660.04,705,14.37,6.32,28.3,20.9,18.86,19.75,200,1.02,-0.93,-2.05,-1.80
,,BHILWARA,MANDAL,SHIVPUR_P2,542,Gneiss,Banas,603.3,660.04,705,14.37,6.32,16.7,14.8,14.9,17.7,200,-2.23,0.77,-1.81,-2.01
,,BHILWARA,BIJOLIYAN,Soonthi,348,Hills,Chambal,603.3,660.04,705,14.37,6.32,34,31.9,3.88,11.8,200,-4.71,7.97,2.67,1.81
,,BHILWARA,SHAHPURA,SOPURA,374,Schist,Banas,603.3,660.04,705,14.37,6.32,7.68,4.18,3.78,4.08,13.62,0.44,6.49,-0.87,6.65
,,BHILWARA,MANDALGARH,SURAS,306,Schist,Banas,603.3,660.04,705,14.37,6.32,57.7,56.87,0,0,200,4.71,0.57,3.55,3.50
,,BHILWARA,SUWANA,SUWANA1,407,Gneiss,Banas,603.3,660.04,705,14.37,6.32,13.3,12.1,3.65,3.08,25,-2.57,0.52,-0.98,-0.53
,,BHILWARA,SHAHPURA,Taswaria Khurd,389,Schist,Banas,603.3,660.04,705,14.37,6.32,13.4,6.25,4.25,4.75,16.85,7.56,3.99,7.61,10.16
,,BHILWARA,RAIPUR,Thala_Pz,495,Gneiss,Banas,603.3,660.04,705,14.37,6.32,17.6,17.3,5.65,12.3,200,-1.28,-0.13,0.20,1.00
,,BHILWARA,ASIND,TILOLI,498,Gneiss,Banas,603.3,660.04,705,14.37,6.32,1.25,0.83,0.9,1.2,15.48,0.55,-1.00,-1.10,-1.48
,,BHILWARA,JAHAZPUR,Tithora Maffi,310,Schist,Banas,603.3,660.04,705,14.37,6.32,6.7,0,10.7,10.85,200,0.05,-3.75,1.38,-2.42
,,BIKANER,KHAJUWALA,6 PB,136,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,16.6,16.54,16.51,16.33,137.5,7.89,6.34,7.16,5.92
,,BIKANER,KHAJUWALA,AMARPURA,165,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,0,11.27,0,0,41.17,4.97,3.88,7.12,0.83
,,BIKANER,LUNKARANSAR,ARJANSAR,206,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,19.45,19.72,19.35,19.71,71.75,-3.82,-0.71,-0.56,0.94
,,BIKANER,LUNKARANSAR,BADERAN,207,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,0,32.32,35.8,36.4,49.29,-5.88,-0.79,0.57,-1.08
,,BIKANER,KOLAYAT,BAJJU,165,Tertiary Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,29.19,30.33,28.95,29.14,43.14,6.43,2.20,-0.49,-3.52
,,BIKANER,KOLAYAT,Bajju (tejpura),164,Tertiary Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,28.59,28.63,28.58,28.49,120,-3.95,-0.65,-1.08,0.63
,,BIKANER,KOLAYAT,Bhikampur Shallow,165,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,18.5,0,17.5,0,75,-0.69,0.14,0.22,0.74
,,BIKANER,LUNKARANSAR,Binjawari Dw,211,Nagaur & Jodhpur Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,4.7,4.7,2.7,4.85,10.7,-0.47,1.66,3.45,5.42
,,BIKANER,KHAJUWALA,CHHATARGARH,166,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,29.67,29.41,29.48,29.25,57.17,-10.75,-4.55,5.55,-1.85
,,BIKANER,BIKANER,DESHNOKH,271,Tertiary Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,116.8,116.93,116.98,117.08,205,-3.42,-0.68,1.62,-2.65
,,BIKANER,BIKANER,Dhirera_Pz,210,Tertiary Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,51.68,51.4,51.45,51.46,64,-2.85,-1.60,1.42,0.75
,,BIKANER,KOLAYAT,Gariyala_Pz,205,Tertiary Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,63.15,63.37,63.54,63.85,164,-3.32,-2.44,-1.78,-4.42
,,BIKANER,KOLAYAT,GODU,152,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,17.93,21.36,18.73,18.87,48.83,0,0,0,0
,,BIKANER,KOLAYAT,Godu_Pz_,149,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,16.42,16.5,16.53,16.49,190.61,8.01,-1.09,-0.10,-0.51
,,BIKANER,KOLAYAT,Godu_Pz_II,149,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,14.6,15.03,15.16,15.3,190.3,2.06,-3.75,0.06,-3.15
,,BIKANER,LUNKARANSAR,Hanseran,204,Nagaur & Jodhpur Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,56.2,55.66,55.77,55.91,90,2.33,1.55,6.72,5.90
,,BIKANER,LUNKARANSAR,HARIASAR,197,Tertiary Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,28.98,30.67,30.71,35.25,61.95,5.06,4.63,2.92,1.63
,,BIKANER,KOLAYAT,JAGGASAR,127,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,16.7,16.58,16.57,16.46,250,0.15,-6.82,1.35,-2.75
,,BIKANER,NOKHA,KAKRA,305,Nagaur & Jodhpur Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,95.32,95.16,95.46,95.66,178.92,4.32,3.16,0.26,-5.69
,,BIKANER,KOLAYAT,Kandharli Deep,155,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,11.83,12.29,12.4,12.46,184,-6.78,-5.67,-3.69,-4.55
,,BIKANER,KOLAYAT,Kandharli Shallow,155,Older Alluvium,The Outside Basin,249.8,312.01,320,21.96,2.53,12.15,11.52,11.84,11.89,88,6.78,7.64,4.59,2.60
,,BIKANER,PANCHOO,Kanwalisar,328,Nagaur & Jodhpur Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,65.65,55.7,64.67,65.6,150,0.03,1.70,1.49,-3.50
,,BIKANER,BIKANER,KARMISAR,217,Tertiary Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,65.28,64.3,64.26,64.08,139.6,3.30,2.84,6.57,1.30
,,BIKANER,LUNKARANSAR,KASTURIA,186,Tertiary Sandstone,The Outside Basin,249.8,312.01,320,21.96,2.53,36.76,36.21,34.17,34.12,42.6,21.70,22.60,-0.93,-0.60
