Sno,District,Block,Village,Avg Rainfall,LAT,LONG,Depth,Elevation,May_decade_bgl,Aug_decade_bgl,Nov_decade_bgl,Jan_decade_bgl,May_bgl,Aug_bgl,Nov_bgl,Jan_bgl,May_rise,Aug_rise,Nov_rise,Jan_rise
W252413074094001,BHILWARA,Raipur,Raipur,74.16,25.4,1,26.5,533,8.28,4,4.66,8.11,5,4.1,3.94,4.6,-3.28,0.1,-0.72,-3.51
W251700075000601,BHILWARA,Kotri,RAMNAGAR Pz,75,25.28,0.5,200,346,28.8,21.03,12.75,15.9,32.8,7.92,5.38,9.02,4,-13.11,-7.37,-6.88
W251736075194301,BHILWARA,Bijoliya,Rampuriya Pz,75.33,25.29,0.5,200,331,21.64,12.55,11.61,15.3,37.1,33.8,5.72,11.15,15.46,21.25,-5.89,-4.15
W254814074271202,BHILWARA,Asind,Rooppura,74.45,25.8,0.5,200,439,18.28,18.38,14.08,17.04,27.65,14,15.65,15.8,9.38,-4.38,1.58,-1.24
W250650075154001,BHILWARA,Mandalgarh,SALAWATIA,75.26,25.11,0.5,31,530,23.85,12.07,15.61,18.02,26.1,22.7,6.75,16.4,2.25,10.63,-8.86,-1.62
W251214074092001,BHILWARA,Sahara,SALERA,74.16,25.2,0.5,200,456,10.35,9.05,5.06,6.25,12.4,10,7.38,8.45,2.05,0.95,2.32,2.2
W251825074520001,BHILWARA,Kotri,SAWAIPUR,74.87,25.31,1,28.99,387,14.53,9.41,9.84,11.73,13.55,12.05,8.32,10.55,-0.98,2.64,-1.52,-1.18
W251131074260901,BHILWARA,Suwana,SETHORIYA,74.44,25.19,0.5,200,413,20.5,15.65,12.46,14.6,28.3,20.9,18.86,19.75,7.8,5.25,6.41,5.15
W254135074073601,BHILWARA,Mandal,SHIVPUR_Pz,74.13,25.69,0.5,200,542,11.54,11.55,7.54,5.25,16.7,14.8,14.9,17.7,5.16,3.25,7.36,12.45
W251156075253101,BHILWARA,Bijoliya,Soonthi,75.43,25.2,0.5,200,348,21.95,14.23,12.21,12.25,34,31.9,3.88,11.8,12.05,17.68,-8.33,-0.45
W253615074540001,BHILWARA,SHAHPURA,SOPURA,74.9,25.6,0.12,13.62,374,7.71,5.24,6.26,7.5,7.68,4.18,3.78,4.08,-0.03,-1.06,-2.48,-3.42
W252100074420001,BHILWARA,Suwana,SUWANAI,74.7,25.35,0,25,407,13.54,6.95,7.35,9.83,13.3,12.1,3.65,3.08,-0.24,5.15,-3.7,-6.75
W253340074480001,BHILWARA,SHAHPURA,Taswaria Khurd,74.8,25.56,0.25,16.85,389,13.75,8.37,8.41,11.58,13.4,6.25,4.25,4.75,-0.35,-2.12,-4.16,-6.83
